is_synthetic,synthetic_notice,outer_fold,subject_id,region_id,delta_frames,delta_ms,reference_delta,error,reference_error,delta_error,evaluable,same_support,n_valid
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,-2,-66.667,0,1.12,1.01,0.11,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,-1,-33.333,0,1.06,1.01,0.05,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,0,0.0,0,1.01,1.01,0.0,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,1,33.333,0,1.065,1.01,0.055,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,0,MOCK_S01,mouth,2,66.667,0,1.125,1.01,0.115,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,-2,-66.667,0,1.16,1.05,0.11,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,-1,-33.333,0,1.10,1.05,0.05,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,0,0.0,0,1.05,1.05,0.0,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,1,33.333,0,1.105,1.05,0.055,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,1,MOCK_S02,mouth,2,66.667,0,1.165,1.05,0.115,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,-2,-66.667,0,1.11,1.00,0.11,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,-1,-33.333,0,1.05,1.00,0.05,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,0,0.0,0,1.00,1.00,0.0,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,1,33.333,0,1.055,1.00,0.055,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,2,MOCK_S03,mouth,2,66.667,0,1.115,1.00,0.115,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,-2,-66.667,0,1.14,1.03,0.11,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,-1,-33.333,0,1.08,1.03,0.05,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,0,0.0,0,1.03,1.03,0.0,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,1,33.333,0,1.085,1.03,0.055,True,True,120
True,FAKE DATA - NOT FOR SCIENTIFIC CONCLUSIONS,3,MOCK_S04,mouth,2,66.667,0,1.145,1.03,0.115,True,True,120
